Date,Stock,Reco,Price
2024-03-14,Kirloskar Oil,EXIT,774.0
2024-03-14,Nestle India,BUY,2593.0
2024-03-18,Neuland Labs.,BUY,5959.0
2024-03-18,Marksans Pharma,EXIT,153.0
2024-04-23,Persistent Sys,EXIT,3501.0
2024-04-23,Praj Industries,BUY,519.0
2024-05-13,Titan Company,EXIT,3425.0
2024-05-13,Vesuvius India,Buy,4427.0
2024-05-27,Torrent Power,EXIT,1414.0
2024-05-27,Polycab India,BUY,6798.0
2024-05-29,AIA Engineering,EXIT,3685.0
2024-05-29,Time Technoplast,BUY,268.0
2024-05-31,CRISIL,EXIT,4115.0
2024-05-31,J B Chemicals &,BUY,1739.0
2024-06-03,Narayana Hrudaya,EXIT,1187.0
2024-06-03,NCC,BUY,309.0
2024-06-05,Astral,EXIT,2016.0
2024-06-05,Nestle India,EXIT,2554.0
2024-06-05,Colgate-Palmoliv,Buy,2985.0
2024-06-05,Jyothy Labs,Buy,445.0
2024-06-27,Kirloskar Oil,Buy,1426.0
2024-06-27,I O C L,EXIT,164.0
2024-07-01,J B Chemicals &,EXIT,1785.0
2024-07-01,Mahanagar Gas,Buy,1687.0
2024-08-02,Kirloskar Oil,EXIT,1189.0
2024-08-02,Persistent Sys,Buy,4711.0
2024-09-26,eClerx Services,BUY,2954.0
2024-09-26,Polycab India,EXIT,6687.0
2024-10-04,Safari Inds.,EXIT,2460.0
2024-10-04,Torrent Power,BUY,1844.0
2024-11-13,Nippon Life Ind.,EXIT,683.0
2024-11-13,Mahanagar Gas,EXIT,1348.0
2024-11-13,Akzo Nobel,BUY,3700.0
2024-11-13,Dr Lal Pathlabs,BUY,3000.0
2024-11-14,Jyothy Labs,EXIT,432.0
2024-11-14,eClerx Services,EXIT,3352.0
2024-11-14,TVS Motor Co.,Buy,2385.0
2024-11-14,UTI AMC,Buy,1303.0
2024-11-18,Torrent Power,EXIT,1586.0
2024-11-18,Ganesha Ecosphe.,Buy,2394.0
2024-12-16,TVS Motor Co.,EXIT,2522.0
2024-12-16,Shaily Engineer.,BUY,1487.0
2024-12-26,Ganesha Ecosphe.,EXIT,2039.0
2024-12-26,Thangamayil Jew.,BUY,1936.0
2025-01-03,Colgate-Palmoliv,EXIT,2803.0
2025-01-03,Himadri Special,Buy,590.0
2025-01-07,NCC,EXIT,269.0
2025-01-07,Natco Pharma,Buy,1334.0
2025-01-14,Uno Minda,Buy,1032.0
2025-01-14,Cummins India,EXIT,2870.0
2025-01-16,Vesuvius India,EXIT,4132.0
2025-01-16,Lumax Auto Tech,Buy,566.0
2025-01-31,UTI AMC,Exit,1018.0
2025-01-31,Himadri Special,Exit,492.0
2025-01-31,Nippon Life Ind.,Buy,584.0
2025-01-31,S P Apparels,Buy,808.0
2025-02-04,Lumax Auto Tech,Exit,542.0
2025-02-04,Uno Minda,Exit,989.0
2025-02-04,V-Guard Industri,Buy,387.0
2025-02-04,Kirloskar Oil,Buy,855.0
2025-02-07,Thangamayil Jew.,Exit,1950.0
2025-02-07,Coromandel Inter,Buy,1839.0
2025-02-13,Kirloskar Oil,Exit,741.0
2025-02-13,Gabriel India,Buy,501.0
2025-02-14,Natco Pharma,Exit,889.0
2025-02-14,TVS Motor Co.,Buy,2400.0
2025-02-21,Akzo Nobel,Exit,3213.0
2025-02-21,EID Parry,Buy,693.0
2025-02-25,Dr Lal Pathlabs,EXIT,2463.0
